movie_id,actor_id,character,cast_order
862,31,Woody (voice),0
862,12898,Buzz Lightyear (voice),1
862,7167,Mr. Potato Head (voice),2
862,12899,Slinky Dog (voice),3
862,12900,Rex (voice),4
8844,2157,Alan Parrish,0
8844,8537,Samuel Alan Parrish / Van Pelt,1
8844,205,Judy Sheperd,2
8844,145151,Peter Shepherd,3
8844,5149,Sarah Whittle,4
15602,6837,Max Goldman,0
15602,3151,John Gustafson,1
15602,13567,Ariel Gustafson,2
15602,16757,Maria Sophia Coletta Ragetti,3
15602,589,Melanie Gustafson,4
11862,67773,George Banks,0
11862,3092,Nina Banks,1
11862,519,Franck Eggelhoffer,2
11862,70696,Annie Banks-MacKenzie,3
11862,59222,Bryan MacKenzie,4
949,1158,Lt. Vincent Hanna,0
949,380,Neil McCauley,1
949,5576,Chris Shiherlis,2
949,10127,Nate,3
949,3197,Michael Cheritto,4
11860,3,Linus Larrabee,0
11860,15887,Sabrina Fairchild,1
11860,17141,David Larrabee,2
11860,4301,Mrs. Ingrid Tyson,3
11860,12957,Maude Larrabee,4
9091,15111,Darren Francis Thomas McCord,0
9091,6280,Joshua Foss,1
9091,8656,Matthew Hallmark,2
9091,10361,Vizepräsident Daniel Bender,3
9091,12928,Tyler,4
710,517,James Bond,0
710,48,Alec Trevelyan,1
710,10695,Natalya Fyodorovna Simonova,2
710,10696,Xenia Onatopp,3
710,10671,Jack Wade,4
9087,3392,Andrew Shepherd,0
9087,516,Sydney Ellen Wade,1
9087,521,Lewis Rothschild,2
9087,8349,A.J. MacInerney,3
9087,63279,Robin McCall,4
12110,7633,Count Dracula,0
12110,14639,Prof. Abraham Van Helsing,1
12110,1219,Mina Seward,2
12110,12688,Thomas Renfield,3
12110,12812,Lucy Westenra,4
21032,4724,Balto (voice),0
21032,382,Boris the Goose (voice),1
21032,2233,Jenna (voice),2
21032,12077,Steele the Sled Dog (voice),3
21032,110001,Muk and Luk (voice),4
10858,4173,Richard Nixon,0
10858,11148,Pat Nixon,1
10858,6280,Alexander Haig,2
10858,228,E. Howard Hunt,3
10858,382,J. Edgar Hoover,4
1408,16935,Morgan Adams,0
1408,8654,William Shaw,1
1408,8924,Dawg,2
1408,7868,John Reed,3
1408,8979,Ainstee,4
524,380,Sam 'Ace' Rothstein,0
524,4430,Ginger McKenna,1
524,4517,Nicky Santoro,2
524,4512,Lester Diamond,3
524,7167,Billy Sherbert,4
4584,204,Marianne Dashwood,0
4584,7056,Elinor Dashwood,1
4584,3291,Edward Ferrars,2
4584,207,Mr. Dashwood,3
4584,4566,Col. Christopher Brandon,4
5,3129,Ted the Bellhop,0
5,3131,Man,1
5,3130,Angela,2
5,3125,Elspeth,3
5,3141,Margaret,4
9273,206,Ace Ventura,0
9273,3547,Fulton Greenwall,1
9273,4001,Vincent Cadby,2
9273,57096,Ouda,3
9273,4029,Burton Quinn,4
11517,10814,John,0
11517,57755,Charlie,1
11517,16866,Grace Santiago,2
11517,9287,Donald Patterson,3
11517,2955,Torch,4
8012,8891,Chili Palmer,0
8012,193,Harry Zimm,1
8012,14343,Karen Flores,2
8012,518,Martin Weir,3
8012,1117,Ray 'Bones' Barboni,4
1710,10205,Helen Hudson,0
1710,18686,M.J. Monahan,1
1710,883,Nico Letti,2
1710,18687,Peter Foley,3
1710,18688,Doryll Lee Cullum,4
9691,16483,Robert Rath,0
9691,3131,Miguel Bain,1
9691,1231,Electra,2
9691,58556,Nicolai Tashlinkov,3
9691,17348,Ketcham,4
12665,2453,Jessie Caldwell,0
12665,54789,Jeremy 'Powder' Reed,1
12665,2714,Sheriff Doug Barnum,2
12665,4785,Donald Ripley,3
12665,36637,Deputy Harley Duncan,4
451,2963,Ben Sanderson,0
451,1951,Sera,1
451,6104,Yuri,2
451,6105,Peter,3
451,6106,Marc Nussbaum,4
9263,6886,Young Roberta Martin,0
9263,12929,Dr. Roberta Martin,1
9263,2155,Teeny,2
9263,29369,Tina 'Teeny' Tercell,3
9263,12930,Young Samantha Albertson,4
902,2372,One,0
902,2413,Scaphandrier / Les Clones,1
902,13842,Miette,2
902,13843,Krank,3
902,13687,Marcello,4
9909,1160,Louanne Johnson,0
9909,10477,Hal Griffith,1
9909,24047,George Grandey,2
9909,11902,Carla Nichols,3
9909,12642,Waiter,4
63,62,James Cole,0
63,289,Dr. Kathryn Railly,1
63,287,Jeffrey Goines,2
63,290,Dr. Goines,3
63,52,Dr. Peters,4
9598,58136,Babe the Gallant Pig (voice),0
9598,6199,Fly the Female Sheepdog (voice),1
9598,52699,Ferdinand the Duck (voice),2
9598,1331,Rex the Male Sheepdog (voice),3
9598,35109,Maa the Very Old Ewe (voice),4
687,4038,Sister Helen Prejean,0
687,2228,Matthew Poncelet,1
687,10360,Hilton Barber,2
687,10361,Earl Delacroix,3
687,8655,Clyde Percy,4
33689,1796,Diane Barrows,0
33689,26472,Roger Callaway,1
33689,67848,Alyssa Callaway / Amanda Lemmon,2
33689,67849,Amanda Lemmon / Alyssa Callaway,3
33689,92255,Clarice Kensington,4
9603,5588,Cher Horowitz,0
9603,58150,Dionne,1
9603,328,Tai,2
9603,22226,Josh,3
9603,49002,Murray,4
31174,1327,Richard III,0
31174,516,Elizabeth,1
31174,388,The Duke of Buckingham,2
31174,5470,Lady Anne,3
31174,42566,James Tyrrell,4
11443,18291,Anthony Curtis,0
11443,65827,Kirby,1
11443,66,Skip,2
11443,6862,Jose,3
11443,69447,Juanita Benson,4
35196,3223,Robert Merivel,0
35196,5344,Katharine,1
35196,4783,King Charles II,2
35196,11207,John Pearce,3
35196,3291,Elias Finn,4
9312,38559,Lord Rayden,0
9312,57250,Liu Kang,1
9312,57251,Johnny Cage,2
9312,11398,Shang Tsung,3
9312,20751,Sonya Blade,4
577,2227,Suzanne Stone Maretto,0
577,2876,Larry Maretto,1
577,73421,Jimmy Emmett,2
577,1893,Russel Hines,3
577,7796,Janice Maretto,4
11861,1920,Finn Dodd,0
11861,10774,Glady Joe Cleary,1
11861,9560,Hy Dodd,2
11861,18794,Constance Saunders,3
11861,14500,Em,4
807,287,Detective David Mills,0
807,192,Detective Lt. William Somerset,1
807,12052,Tracy Mills,2
807,11885,California,3
807,1979,John Doe,4
10530,65529,Pocahontas (voice),0
10530,2461,John Smith (voice),1
10530,28010,Governor Ratcliffe (voice),2
10530,31365,Meeko (voice),3
10530,3203,Powhatan (voice),4
629,9045,Michael McManus,0
629,5168,Dean Keaton,1
629,9046,US Customs Agent Dave Kujan,2
629,7166,Todd Hockney,3
629,4935,Kobayashi,4
11448,1243,Lenny,0
11448,23931,Linda Ash,1
11448,1283,Amanda,2
11448,1164,Chorleiter,3
11448,10560,Amanda's Father,4
26441,26472,Sheriff Tom Palmer,0
26441,46423,Miss Anna Mongomery,1
26441,6067,Coach Jay Huffer,2
26441,8659,Edwin V. Douglas,3
26441,69395,Newt Shaw,4
9089,18686,Claudia Larson,0
9089,3223,Tommy Larson,1
9089,10774,Adele Larson,2
9089,1466,Henry Larson,3
9089,6194,Kitt Larson,4
11010,24366,Pablo Neruda,0
11010,67792,Mario Ruoppolo,1
11010,10777,Beatrice Russo,2
11010,14149,Telegrapher,3
11010,538696,Donna Rosa,4
11359,69301,Omri,0
11359,69302,Little Bear,1
11359,32225,Jane,2
11359,28633,Victor,3
11359,1318612,Patrick,4
17182,35,Karen McCann,0
17182,2628,Robert Doob,1
17182,228,Mack McCann,2
17182,821,Dolly Green,3
17182,33689,Angel Kosinsky,4
2054,3037,Glenn Holland,0
2054,21104,Iris Holland,1
2054,21105,Bill Meister,2
2054,3019,Principal Helen Jacobi,3
2054,3905,Vice Principal Gene Wolters,4
10607,35690,Ashtray,0
10607,9562,Loc Dog,1
10607,66131,Dashiki,2
10607,27590,Preach,3
10607,2535,Ashtray's Mother,4
9536,64998,Bud Macintosh,0
9536,9045,Doyle Johnson,1
9536,16484,Monique (as Joey Adams),2
9536,43433,Jen,3
9536,7676,Dr. Noah Faulkner,4
10634,9778,Craig Jones,0
10634,66,Smokey,1
10634,9781,Debbie,2
10634,8396,Deebo,3
10634,56902,Mr. Jones,4
755,1461,Seth Gecko,0
755,138,Richard Gecko,1
755,1037,Jacob Fuller,2
755,3196,Kate Fuller,3
755,11158,Scott Fuller,4
11859,13021,Max Kirkpatrick,0
11859,33665,Kate McQueen,1
11859,782,Colonel Ilya Kazak,2
11859,4443,Lieutenant Meyerson,3
11859,30488,Emilio Juantorena,4
9102,27811,Colonel Hendricksson,0
9102,56977,Becker,1
9102,56978,Jessica,2
9102,56979,Ace Jefferson,3
9102,25689,Landowska,4
27526,514,Freddy Gale,0
27526,52,John Booth,1
27526,5657,Mary,2
27526,32,Jojo,3
27526,6721,Helen Booth,4
9623,3416,Annie Laird,0
9623,7447,Teacher,1
9623,24045,Oliver Laird,2
9623,8256,Juliet,3
9623,4691,Eddie,4
400,1271,Jimmy 'The Saint' Tosnia,0
400,1062,Pieces,1
400,4520,Franchise,2
400,5502,Easy Wind,3
400,4515,Critical Bill,4
10534,1229,Captain Christopher 'Skipper' Sheldon,0
10534,6692,Dr. Alice Sheldon,1
10534,47879,"McCrea, Albatross Crewman",2
10534,24965,Charles 'Chuck' Gieg,3
10534,23958,Frank Beaumont,4
17414,1206,Robert Grant,0
17414,6450,Mrs. Dubrow,1
17414,27564,Kyle Grant,2
17414,4757,Lord Rutledge,3
17414,171373,Brian Grant,4
13997,58198,Mike Donnelly,0
13997,60950,Steve Dodds,1
13997,31511,Robbie Mieghem,2
13997,21561,Al Donnelly,3
13997,2048,Drake Sabitch,4
2086,85,Gene Watson,0
2086,21365,Lynn Watson,1
2086,17764,Hucy,2
2086,4690,Mr. Smith,3
2086,21366,Ms. Jones,4
9095,1204,Mary Reilly,0
9095,6949,Dr. Henry Jekyll / Edward Hyde,1
9095,47722,Der Butler Mr. Poole,2
9095,5658,Marys Vater,3
9095,515,Mrs. Farraday,4
12158,776,Maximillian | Pauly | Guido,0
12158,9780,Detective Rita Veder,1
12158,32486,Detective Justice,2
12158,66554,Julius Jones,3
12158,56902,Silas Green,4
9283,2876,Tommy 'Birdman' Rowland,0
9283,11315,Michael 'Mo' Morris,1
9283,49425,Tracy Stover,2
9283,34485,Darian Smalls,3
9283,16327,Willie Conway,4
9208,8891,Maj. Vic 'Deak' Deakins,0
9208,2224,Capt. Riley Hale,1
9208,20767,Terry Carmichael,2
9208,18792,Colonel Max Wilkins,3
9208,4029,Pritchett,4
406,1925,Vinz,0
406,5418,Hubert,1
406,5419,Saïd,2
406,5420,Abdel,3
406,72270,Santo,4
11062,1158,Mayor John Pappas,0
11062,3036,Deputy Mayor Kevin Calhoun,1
11062,2233,Marybeth Cogan,2
11062,1004,Frank Anselmo,3
11062,2641,Judge Walter Stern,4
13685,36422,Anthony Adams,0
13685,887,Dignan,1
13685,74940,Inez,2
13685,71555,Future Man,3
13685,52797,Bob Mapplethorpe,4
9614,19292,Happy Gilmore,0
9614,7399,Hal L. - Orderly in Nursing Home (uncredited),1
9614,4443,Shooter McGavin,2
9614,31171,Virginia Venit,3
9614,11794,Grandma Gilmore,4
688,5064,Francesca Johnson,0
688,190,Robert Kincaid,1
688,6907,Caroline Johnson,2
688,10379,Michael Johnson,3
688,10380,Richard Johnson,4
10874,13472,Long John Silver,0
10874,19996,Jim Hawkins,1
10874,12094,Mrs. Bluveridge,2
10874,9188,Billy Bones,3
10874,64181,,4
197,2461,William Wallace,0
197,2462,Murron MacClannough,1
197,1957,Princess Isabelle,2
197,2463,King Edward,3
197,2464,Robert the Bruce,4
103,380,Travis Bickle,0
103,1036,Betsy,1
103,1037,'Sport' Matthew,2
103,1038,Iris Steensma,3
103,1039,Wizard,4
33542,18897,Keung,0
33542,44917,Elaine,1
33542,10875,Nancy,2
33542,44922,Uncle Bill,3
33542,44919,Tony,4
11066,776,Marcus Graham,0
11066,59153,Jacqueline 'Jackie / Jack' Broyer,1
11066,4587,Angela Lewis,2
11066,58563,Gerard Jackson,3
11066,10661,Strangé,4
11104,56830,Woman in blonde wig,0
11104,1337,Policeman 663,1
11104,12671,Faye,2
11104,43661,"He Zhiwu, Cop 223",3
11104,119875,Air Hostess,4
2074,7399,Mel Coplin,0
2074,4687,Nancy Coplin,1
2074,4939,Tina Kalb,2
2074,21277,Pearl Coplin,3
2074,21278,Richard Schlichting,4
27793,18259,Bastian Bux,0
27793,57236,Nicole,1
27793,27111,Barney Bux,2
27793,134061,Jane Bux,3
27793,70851,Slip,4
11863,16560,David Corelli,0
11863,9625,Katrina Gavin,1
11863,9046,Matt Gavin,2
11863,2712,Bob Hargrove,3
11863,16554,Governor Edwards,4
9101,7090,"Lt. Commander Thomas ""Tom"" Dodge",0
9101,34485,Lt. Emily Lake,1
9101,60949,"Executive Officer Lt. Martin T. ""Marty"" Pascal",2
9101,5048,Lt. Howard,3
9101,6905,Rear Admiral Yancy Graham,4
11000,2157,Armand Goldman,0
11000,193,Sen. Kevin Keeley,1
11000,78729,Albert Goldman,2
11000,1902,Louise Keeley,3
11000,31511,National Enquirer Photographer,4
9737,2888,Detective Mike Lowrey,0
9737,78029,Detective Marcus Burnett,1
9737,4939,Julie Mott,2
9737,10698,Fouchet,3
9737,532,Captain C. Howard,4
