movie_id,director_id
862,7879
8844,4945
15602,26502
11862,56106
949,638
11860,2226
9091,37710
710,10702
9087,3026
12110,14639
21032,21879
10858,1152
1408,16938
524,1032
4584,1614
5,3110
9273,4489
11517,52629
8012,5174
1710,15148
9691,7187
12665,56349
451,6111
9263,15798
902,2419
9909,60295
63,280
9598,58137
687,504
33689,17167
9603,57434
31174,33315
11443,11447
35196,52405
9312,4014
577,5216
11861,3047
807,7467
10530,65530
629,9032
11448,1243
26441,71338
9089,1038
11010,28898
11359,7908
17182,19304
2054,18356
10607,45649
9536,57870
10634,37932
755,2294
11859,70850
9102,25735
27526,2228
9623,18069
400,5501
10534,578
17414,29009
13997,58448
2086,12840
9095,3224
12158,5140
9283,34849
9208,11401
406,2406
11062,23213
13685,5655
9614,17494
688,190
10874,65298
197,2461
103,1032
33542,44916
11066,68215
11104,12453
2074,17883
27793,16589
11863,15175
9101,12920
11000,5342
9737,865
10474,65390
568,6159
11780,30365
414,5572
649,793
1775,17087
8839,11887
20649,5281
10329,664
8963,893
8068,2294
8512,21712
1572,1090
13552,19224
6520,3415
9073,56998
10428,1978
9886,59997
9482,33279
9344,51917
9071,6400
2293,19303
9070,42111
1642,11472
11472,10965
11980,28902
32646,16863
10533,8965
10802,10491
10149,39819
9348,21370
281,14392
5967,24882
36834,1128
9090,20237
3512,32277
9560,22767
9804,8300
76,564
11017,57691
2292,19303
1909,25210
8984,8246
4954,12840
10531,3556
11929,18596
8467,7396
10451,1614
20156,56205
522,510
397,8844
10525,7904
15789,15775
21183,87695
14275,122449
1024,108
13701,57851
14819,32593
11777,64061
628,17016
6280,8858
9061,56872
37108,62043
6071,23393
11,1
9587,58094
19101,11218
4476,9181
11008,14692
11318,55476
3036,11181
10510,56911
8438,54971
1945,10781
241,1152
9058,13563
18220,2873
6950,5231
101,59
680,138
11450,4135
12106,7623
3586,9789
110,1126
108,1126
109,1126
22586,107274
2636,26648
2164,6046
11395,58072
278,4027
9905,2034
20306,57028
31439,607
9067,56891
9059,15521
193,2380
12122,11770
11381,13426
1587,5306
9271,57090
2064,12962
236,3045
3049,4499
2759,27889
10497,3556
11382,1243
9331,13015
10731,5572
10464,16853
9495,21085
888,13581
13,24
712,10723
16295,6482
10660,41550
10714,7775
8587,15812
1689,4956
11596,5140
854,26713
9359,7187
36593,13426
2788,7399
10427,21053
11011,18281
8987,323
1637,2209
8831,37710
36955,2710
10395,5342
12160,8844
11667,1726
8011,53599
2654,11770
2758,5174
10436,1032
13595,7145
9409,12840
11853,42171
11041,58448
306,4610
14522,1901
178,2042
19819,15175
4722,39104
1607,380
6075,1150
11310,66548
9350,16938
9612,18308
2124,21806
26261,12964
11566,8858
9571,564
9739,58838
10997,20640
10443,2690
9024,5174
37233,2226
1634,18254
5503,12989
35588,1723
2087,21370
2019,11401
9255,12936
10612,65859
2259,19684
11934,1223
12475,774
9386,5231
7984,53334
15765,18069
6,2042
329,488
10909,58498
507,8297
9593,1090
1413,224
12121,24318
2246,23213
10502,2461
10440,1243
9516,11447
2320,2523
5879,46230
11971,11181
2625,6111
788,10965
21450,65452
11231,56828
10447,10702
31586,3026
9559,190
9800,16294
713,10757
8291,6482
25557,29482
10872,34849
1245,54441
11858,14911
7007,648
5550,44056
8005,14639
2088,21377
10412,65026
14534,44847
424,488
35233,12964
14291,2260
11236,1128
11592,10367
8850,52968
695,9789
23210,64061
858,9248
867,13015
78,578
13203,54590
10442,15106
11074,63943
9607,58164
9057,45645
10635,41549
9479,57646
10057,18356
11969,16566
319,893
15139,4945
11446,66605
11655,10828
10897,58448
251,3415
